Союзы сложноподчиненных предложений: nicht/sondern, kein/sondern;;
Er ist nicht mein Chef, sondern mein Kollege.;;;Он не мой шеф, а мой коллега.;;
Sie ist nicht meine Schwester, sondern meine Cousine.;;;Она не моя сестра, а моя кузина.;;
Das ist kein Berlin, sondern Hamburg.;;;Это не Берлин, а Гамбург.;;
Das ist kein Hamster, sondern ein Eichhörnchen.;;;Это не хомяк, а белка.;;
Das ist kein Tisch, sondern ein Stuhl.;;;Это не стол, а стул.;;
Ich spiele kein Fußball, sondern Volleyball.;;;Я играю не в футбол, а в волейбол.;;
Er schaut keinen Film, sondern eine Serie.;;;Он смотрит не кино, а сериал.;;
Er liest kein Buch, sondern eine Zeitung.;;;Он читает не книгу, а газету.;;
Das ist keine Jacke, sondern ein Mantel.;;;Это не куртка, а пальто.;;
