Союзы сложноподчиненных предложений: entweder/oder;;
Entweder bleibe ich zu Hause, oder gehe ich ins Kino.;;;Я либо останусь дома, либо пойду в кино.;;
Entweder kaufe ich ein Auto, oder werde ich viel reisen.;;;Я либо куплю машину, либо буду много путешествовать.;;
Ich werde entweder Französisch, oder auch Italienisch lernen.;;;Я буду учить либо французский, либо итальянский.;;
Man muss entweder reich, oder berühmt werden.;;;Надо стать богатым, либо знаменитым.;;
Sie fahren entweder in die Schweiz, oder nach Italien.;;;Они поедут либо в Швейцарию, либо в Италию.;;
Wir fahren entweder in die Türkei, oder nach Ägypten.;;;Мы поедем или в Турцию, или в Египет.;;
Wir kaufen entweder ein Haus, oder eine Wohnung.;;;Мы купим либо дом, либо квартиру.;;
