Союзы сложноподчиненных предложений: sowohl/als auch;;
Er liest sowohl Zeitungen, als auch Zeitschriften.;;;Он читает как газеты, так и журналы.;;
Er war sowohl in der Schweiz, als auch in Frankreich.;;;Он был как в Швейцарии, так и во Франции.;;
Ich habe sowohl ein Auto, als auch ein Rad.;;;У меня есть как машина, так и велосипед.;;
Ich lerne sowohl Deutsch, als auch Englisch.;;;Я учу как немецкий, так и английский.;;
Ich mag sowohl Fußball, als auch Tennis.;;;Мне нравится как футбол, так и теннис.;;
Ich schaue sowohl Filme, als auch Serien.;;;Я смотрю как фильмы, так и сериалы.;;
Ich war sowohl in Deutschland, als auch in Österreich.;;;Я был как в Германии, так и в Австрии.;;
