Союзы сложноподчиненных предложений: Je/desto;;
Je schneller du Deutsch erlernst, desto früher fährst du nach Deutschland.;;;Чем быстрее ты выучишь немецкий, тем раньше ты поедешь в Германию.;;
Je mehr du arbeiten wirst, desto schneller wirst du müde.;;;Чем больше ты будешь работать, тем быстрее устанешь.;;
Je lauter die Musik spielt, desto lustiger ist die Party.;;;Чем громче играет музыка, тем веселее вечеринка.;;
Je mehr Freunde kommen, desto mehr Geschenke bekomme ich.;;;Чем больше друзей придут, тем больше подарков я получу.;;
Je langsamer du fährst, desto weiter kommst du.;;;Чем тише едешь, тем дальше будешь.;;
