Союзы сложноподчиненных предложений: zwar/aber;;
Er ist zwar klein, aber sehr tapfer.;;;Он вообще-то маленький, но очень смелый.;;
Ich möchte zwar zu Hause bleiben, aber muss mit ihr fahren.;;;Я хотел бы остаться дома, но должен поехать с ней.;;
Wir möchten zwar ein Auto kaufen, aber wir können es uns nicht leisten.;;;Мы хотели бы купить машину, но не можем этого себе позволить.;;
Ich wollte zwar in die Türkei fahren, aber ich musste zu Hause bleiben.;;;Я вообще-то хотел поехать в Турцию, но должен остаться дома.;;
Wir lesen zwar die Bücher, aber wir mögen auch Filme schauen.;;;Мы вообще-то читаем книги, но любим также смотреть кино.;;
