Союзы сложноподчиненных предложений: weder/noch;;
Ich war weder in Deutschland, noch in Österreich.;;;Я не был ни в Германии, ни в Австрии.;;
Ich höre weder Popmusik, noch Rockmusik.;;;Я не слушаю ни поп музыку, ни рок музыку.;;
Er spielt weder Fußball, noch Volleyball.;;;Он не играет ни в футбол, ни в волейбол.;;
Ich mag weder VK, noch FB.;;;Мне не нравится ни вконтакте, ни фейсбук.;;
Sie geht mit dir weder ins Kino, noch ins Cafe.;;;Она не пойдет с тобой ни в кино, ни в кафе.;;
Ich lese weder Zeitungen, noch Zeitschriften.;;;Я не читаю ни газет, ни журналов.;;
Wir kaufen weder einen Hund, noch eine Katze.;;;Мы не купим ни собаку, ни кошку.;;
Wir fahren weder in die Schweiz, noch nach Italien.;;;Мы не поедем ни в Швейцарию, ни в Италию.;;
Er kauft weder eine Wohnung, noch ein Haus.;;;Он не купит ни квартиру, ни дом.;;
